requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour
10518,603548,2018-07-06 00:00:00,50266,4.0,50692,2
10582,603548,2018-07-06 22:00:00,50675,2.0,50692,18
10355,603548,2018-07-06 22:00:00,50338,2.0,50692,21
10222,601535,2018-07-06 21:00:00,50268,3.0,50692,14
10156,601535,2018-07-06 21:00:00,50911,3.0,50692,21
10606,519392,2018-07-06 21:00:00,50841,2.0,50675,15
10362,604903H,2018-07-06 21:00:00,50269,2.0,50266,21
10379,519392,2018-07-06 21:00:00,50263,2.0,50911,19
10354,604832H,2018-07-06 21:00:00,50349,2.0,50267,21
10356,604773H,2018-07-06 21:00:00,50909,2.0,50841,21
10350,601535,2018-07-06 21:00:00,50266,2.0,50692,22
10358,604900H,2018-07-06 21:00:00,50675,2.0,50266,21
10450,604832H,2018-07-06 21:00:00,50338,2.0,50267,13
10152,604832H,2018-07-06 21:00:00,50268,2.0,50267,21
10252,604773H,2018-07-06 21:00:00,50911,2.0,50841,12
10559,604903H,2018-07-06 21:00:00,50841,1.0,50266,21
10551,604832H,2018-07-06 21:00:00,50269,1.0,50267,21
10568,603522H,2018-07-06 19:00:00,50263,3.0,50911,20
10700,605432,2018-07-06 20:00:00,50349,3.0,50911,0
10637,604832H,2018-07-06 21:00:00,50909,1.0,50267,13
10646,606363,2018-07-06 00:00:00,50266,3.0,50909,11
10349,601535,2018-07-06 21:00:00,50675,1.0,50692,22
10449,604900H,2018-07-06 21:00:00,50338,1.0,50266,13
10237,604903H,2018-07-06 21:00:00,50268,1.0,50266,13
10157,603906,2018-07-06 21:00:00,50911,1.0,50841,21
10151,604773H,2018-07-06 21:00:00,50841,1.0,50841,21
10318,605432,2018-07-06 19:00:00,50269,3.0,51087,7
10600,605073H,2018-07-06 19:00:00,50263,2.0,50911,16
10576,605079H,2018-07-06 20:00:00,50349,2.0,50911,19
10552,603522H,2018-07-06 19:00:00,50909,2.0,50911,21
10627,605432,2018-07-06 19:00:00,50266,2.0,50911,13
10402,605079H,2018-07-06 19:00:00,50675,2.0,50692,16
10394,603522H,2018-07-06 19:00:00,50338,2.0,50911,17
10346,603912,2018-07-06 18:00:00,50268,3.0,50692,23
10416,603522H,2018-07-06 19:00:00,50911,2.0,50911,15
10258,603522H,2018-07-06 19:00:00,50841,2.0,50911,12
10587,605073H,2018-07-06 19:00:00,50269,1.0,50911,17
10565,605079H,2018-07-06 19:00:00,50263,1.0,50692,20
10534,603912,2018-07-06 20:00:00,50349,2.0,50911,23
10652,601555,2018-07-06 18:00:00,50909,2.0,50911,10
10359,603522H,2018-07-06 22:00:00,50266,1.0,50911,21
10425,605079H,2018-07-06 19:00:00,50675,1.0,50692,15
10417,603912,2018-07-06 18:00:00,50338,2.0,50692,15
10243,605079H,2018-07-06 19:00:00,50268,1.0,50692,13
10647,601555,2018-07-06 18:00:00,50911,1.0,50911,11
10404,604760H,2018-07-06 16:00:00,50841,3.0,50240,16
10406,604760H,2018-07-06 16:00:00,50269,3.0,50240,16
10440,518475,2018-07-06 17:00:00,50263,2.0,50911,14
10224,604730H,2018-07-06 21:00:00,50349,2.0,50263,14
10275,601555,2018-07-06 18:00:00,50909,1.0,50911,11
10590,604760H,2018-07-06 22:00:00,50266,2.0,50240,17
10414,603990,2018-07-06 16:00:00,50675,2.0,50911,16
10497,605084H,2018-07-06 17:00:00,50338,1.0,50911,5
10511,605084H,2018-07-06 17:00:00,50268,1.0,50911,3
10456,604760H,2018-07-06 16:00:00,50911,2.0,50240,12
10272,604760H,2018-07-06 16:00:00,50841,2.0,50240,11
10603,603990,2018-07-06 16:00:00,50269,1.0,50911,16
10240,604758H,2018-07-06 15:00:00,50263,2.0,50263,13
10300,604728H,2018-07-06 21:00:00,50349,2.0,51198,9
10254,604758H,2018-07-06 15:00:00,50909,2.0,50263,12
10290,604758H,2018-07-06 22:00:00,50266,2.0,50263,10
10480,606523,2018-07-06 13:00:00,50675,3.0,51087,10
10223,604758H,2018-07-06 15:00:00,50338,1.0,50263,14
10234,604836H,2018-07-06 14:00:00,50268,2.0,50269,13
10209,604758H,2018-07-06 15:00:00,50911,1.0,50263,15
10199,604749H,2018-07-06 14:00:00,50841,2.0,51199,15
10248,604749H,2018-07-06 14:00:00,50269,2.0,51199,13
10462,604761H,2018-07-06 13:00:00,50263,2.0,50349,12
10186,605642,2018-07-06 12:00:00,50349,3.0,50911,16
10291,606941,2018-07-06 14:00:00,50909,1.0,50911,10
10662,607083,2018-07-06 11:00:00,50266,3.0,50349,10
10483,604761H,2018-07-06 13:00:00,50675,1.0,50911,9
10213,604804H,2018-07-06 12:00:00,50338,2.0,50230,15
10247,604761H,2018-07-06 13:00:00,50268,1.0,50349,13
10251,604902H,2018-07-06 12:00:00,50911,2.0,50261,12
10306,607083,2018-07-06 11:00:00,50841,3.0,50911,8
10672,604771H,2018-07-06 11:00:00,50269,2.0,50240,9
10303,604745H,2018-07-06 11:00:00,50263,2.0,51199,8
10259,604727H,2018-07-06 13:00:00,50349,1.0,50261,12
10591,520263,2018-07-06 11:00:00,50909,1.0,50909,17
10610,600963,2018-07-06 09:00:00,50266,3.0,50911,15
10369,520263,2018-07-06 11:00:00,50675,1.0,50909,20
10233,604745H,2018-07-06 11:00:00,50338,1.0,51200,13
10193,604771H,2018-07-06 11:00:00,50268,1.0,50240,16
10249,520263,2018-07-06 11:00:00,50911,1.0,50909,12
10297,604726H,2018-07-06 11:00:00,50841,1.0,51200,9
10279,604739H,2018-07-06 11:00:00,50269,1.0,51200,11
10666,600963,2018-07-06 09:00:00,50263,2.0,51087,9
10624,604748H,2018-07-06 08:00:00,50349,3.0,51087,13
10482,602814,2018-07-06 09:00:00,50909,2.0,50911,9
10585,602821,2018-07-06 12:00:00,50266,2.0,50349,18
10604,603904,2018-07-06 12:00:00,50675,2.0,50911,15
10472,603904,2018-07-06 08:00:00,50338,2.0,50911,11
10467,606620,2018-07-06 09:00:00,50268,1.0,50911,11
10197,607670,2018-07-06 08:00:00,50911,2.0,50911,16
10196,604895H,2018-07-06 07:00:00,50841,3.0,50267,16
10327,602814,2018-07-06 09:00:00,50269,1.0,50349,5
10304,604748H,2018-07-06 10:00:00,50263,2.0,51087,8
10669,602821,2018-07-06 08:00:00,50349,1.0,50349,9
10477,607670,2018-07-06 08:00:00,50909,1.0,50911,10
10282,604895H,2018-07-06 13:00:00,50266,2.0,50267,11
10595,604895H,2018-07-06 07:00:00,50675,1.0,50911,17
10557,518009,2018-07-06 03:00:00,50338,2.0,50911,21
10688,604738H,2018-07-06 03:00:00,50268,2.0,50268,3
10513,604738H,2018-07-06 03:00:00,50911,2.0,50268,2
10498,607289,2018-07-06 01:00:00,50841,4.0,50269,5
10330,607289,2018-07-06 01:00:00,50269,4.0,50269,3
10338,518009,2018-07-06 03:00:00,50263,2.0,50911,1
